mape_accuracy_pred_20pct,mape_accuracy_pred_40pct,mape_accuracy_pred_60pct,mape_accuracy_pred_80pct,mape_accuracy_trans_20pct,mape_accuracy_trans_40pct,mape_accuracy_trans_60pct,mape_accuracy_trans_80pct,mse_accuracy_pred_20pct,mse_accuracy_pred_40pct,mse_accuracy_pred_60pct,mse_accuracy_pred_80pct,mse_accuracy_trans_20pct,mse_accuracy_trans_40pct,mse_accuracy_trans_60pct,mse_accuracy_trans_80pct
7.096909617136108,5.7125868139038385,5.642161226603801,5.322344318907154,9.981666506782963,3.7596047637969634,3.6213031853084767,3.5663469073660448,-7885474.447499109,-4093663.5228095627,-4145278.0597838275,-4289627.288152412,-11918886.179284101,-2754677.941042065,-2660189.7900934583,-2387329.3711582865
1.0591296055185493,0.7993879471969392,3.6097270999740845,3.033813664304115,1.50543770615686,0.3955271183445349,2.486863253397145,1.8816591039086257,-105973.0279566503,-69210.16733860574,-2306513.543817309,-1816473.1630162331,-454767.22383948497,-21520.639148908584,-1870281.5733675382,-1152834.917136571
3.1087044869574028,2.189465046621371,1.9442626524432225,2.175193605638892,7.641731340079303,7.86447897921054,7.336969761401413,6.8646928804321234,-916126.5272002253,-524702.1398477427,-480834.8393967742,-565909.5452566943,-5386313.6229731655,-5068165.762793698,-4473741.39860693,-4237466.3528665695
1.4160556511913664,1.616169142576527,1.477725208403111,1.8367409485779096,1.1081883175852907,1.322925181885168,1.06403376622192,1.6350182532411222,-170034.74890748775,-367118.93416527734,-246143.1962430008,-383544.9848682161,-114215.00263494141,-169841.74827303804,-105224.60269548546,-308473.489500125
1.3453045760746978,1.723263188815303,1.6822060835210828,1.1340217532859505,1.7824364943212025,1.414940565152845,1.2453517966596392,0.9468255812652492,-187979.76064924133,-291077.40003590117,-276435.18798228283,-150240.88317847496,-304877.294439927,-213424.68648141035,-154828.64455535143,-106352.0692422595
1.5660310293030115,1.9758951279167558,2.343808683832616,2.556423145311415,4.366692927885059,1.3793919356539919,1.48633607407636,1.808335678902866,-357118.00345788425,-431242.805537037,-781125.3585666317,-1404887.84651295,-3973210.8360276707,-263609.08500120015,-311310.65744358837,-1215065.3459458752
4.249832789580488,2.143460711051431,4.6648407586237735,3.4533452712039834,7.1735411449726545,5.559619598965707,6.136514480993855,7.00530534599209,-1830273.5731571885,-636144.0924740486,-3220154.174519339,-2109342.7428785237,-4199606.856791337,-2768395.996814915,-5359462.322176384,-5193672.909560037
2.345798970677397,5.313317354999221,3.435867836961399,1.9642268817968342,2.299893048751948,3.227853993743568,1.980937840425348,1.6738323835077895,-741538.4337970742,-4894637.162114166,-3157321.710134429,-1139517.504582037,-627652.9482937477,-2846790.4989542468,-1446870.9796903494,-1208845.1864555061
9.151407413552747,12.359687235091021,7.4051519609993095,7.709304097320029,9.151407413552747,8.71802882829272,6.989559548063172,6.712197653521383,-8345238.049724803,-15483423.090814639,-6372371.870648652,-7079166.162867526,-8345238.049724803,-7817706.919318203,-5486256.015341323,-5268287.141271098
3.1822616075909123,1.1703587096738848,3.0992074421880567,2.9315115053672596,3.755917609696022,1.7805925723225873,3.3803399608317726,1.9113821284698498,-1194245.2889194144,-294082.9143824019,-1812063.5638333252,-1383051.3930445358,-1333645.3606844835,-459145.5124853206,-2386442.959854278,-1095361.449031904
5.489277225096023,24.958358454450128,15.364923926354725,14.413796983356878,6.99028862539138,16.41155970125333,9.305769429965755,8.183519642405653,-4016253.379657402,-61421490.13216062,-32532234.55130477,-40244571.14439079,-5073393.995179197,-23695618.92870431,-12162485.916963235,-9796088.768934423
4.249832789580488,2.143460711051431,4.6648407586237735,3.453345271203983,5.762755137275302,5.40105853518865,4.954627013111464,5.991751828041529,-1830273.5731571885,-636144.0924740486,-3220154.174519339,-2109342.742878524,-2376300.3491165866,-2547547.234978734,-2318873.2001077547,-2857966.294035109
5.828038056690434,5.363768156770573,2.945123555954788,3.229148814720591,6.0906003533241035,2.254818131610135,1.9728773332623346,1.6709151174533132,-4675955.286841962,-3221974.277443081,-1391755.5497304348,-1805275.7206496797,-5411034.366452876,-1446956.4518645047,-1188187.1808879927,-916054.1457072204
1.3453045760746978,1.7232631888153025,1.682206083521083,1.1340217532859505,1.373663305166867,1.7914470762453398,1.6923028628021624,1.8512776492361902,-187979.76064924133,-291077.4000359013,-276435.18798228283,-150240.88317847488,-163462.78527907692,-439323.9784138228,-369253.2968556146,-393946.72465886077
1.0591296055185493,0.7993879471969398,3.609727099974083,3.0338136643041156,1.50543770615686,0.3955271183445349,2.486863253397145,1.8816591039086257,-105973.0279566503,-69210.16733860577,-2306513.5438173087,-1816473.163016233,-454767.22383948497,-21520.639148908584,-1870281.5733675382,-1152834.917136571
4.26521472167459,1.951072971415151,2.9896391421865216,3.061912710907248,3.0553496533740963,1.2048018516589547,1.4846372755718042,1.3627077357682154,-1869989.5922468167,-369758.89933308,-920516.5959026299,-987977.6644912234,-865562.1787271069,-251551.75455429257,-302446.01228096435,-247254.95707103383
6.110249323766722,4.956545127321875,5.2279055272778505,4.715658670240434,14.496592933507213,3.512300612609092,3.362307119261529,3.050252156845497,-3578735.766077865,-2293749.156489214,-3087385.63562973,-3379459.4874530644,-40067831.7472702,-1455513.1607793658,-2484340.981958946,-1899241.7455879734
1.3649602433918862,6.213331645023192,2.1290272761703943,4.929298540680061,0.7869325532547241,3.487150600051711,2.1366742748786676,2.31491834297359,-201566.63776092848,-7998286.550843417,-1519654.0421584141,-4984139.884930385,-78399.38601747692,-2992993.3858757894,-1498504.8128171854,-1529352.6204321266
