mse_accuracy_tgt_no_cv,mape_accuracy_tgt_no_cv,mse_accuracy_tgt_cv,mape_accuracy_tgt_cv,mse_accuracy_trans_no_cv,mape_accuracy_trans_no_cv,mse_accuracy_trans_cv,mape_accuracy_trans_cv
-182.94765679875,30.619846687790016,-221.47483547471532,35.211406612385524,-13.480083381249997,39.64888491704673,-13.480083381249997,28.79757410765911
-132.79221768625,20.364702575915093,-138.15806821742532,21.314360977997204,-13.644446700000001,39.38745332453059,-13.644446700000001,28.841826071076603
-150.839954985,25.663712822537494,-154.1408442559375,30.961894422753673,-3.020817549999997,1.0369411991252346,-3.020817549999997,1.006769014222077
-15395.25091398375,24.421096742452388,-15572.964294923746,24.131028718831313,-219.99560332500027,2.1401077098150707,-219.99560332500027,1.3376722504789367
-15704.025067228751,23.904960388705007,-16911.067006116253,27.926848630490138,-205.64298151250014,0.8938254798760368,-205.64298151250014,0.7885418843344921
-12581.771059280001,29.285535245441785,-22501.201358188322,23.170043481086882,-1338.502125725,61.77271736814024,-1338.502125725,46.383676010904665
-16250.112364992501,37.40090653867717,-16056.204422448753,27.268533192673377,-217.16959336249977,3.106124797817899,-217.16959336249977,1.6507725635698676
-14397.552700248747,24.054383457557325,-14483.451753014255,25.467312358454137,-215.79877383906268,2.248592930407985,-215.79877383906268,1.1428086424300024
-13493.84780087125,22.304044495624964,-13680.181892296232,41.622547325760166,-1214.8482302312505,60.86798851164783,-1214.8482302312505,45.96560988325282
-199.1907109075,30.69073741190494,-200.90096647875,25.94154491780048,-13.718930174999999,41.00220773354965,-13.718930174999999,29.777773679477125
-14825.993247263747,24.8913848357377,-15655.398265934999,23.80697622807453,-214.33737716875012,0.9229414393269173,-214.33737716875012,0.7948477994766368
-162.36090794,25.443738765801214,-129.03877139954687,24.59103023339482,-3.136611440624998,0.9431940937088622,-3.136611440624998,0.928478004159637
-15477.555919666249,36.61557550934984,-9167.813907331847,27.114023977045974,-1194.3367011453124,60.09788705100713,-1194.3367011453124,45.19430419331709
-16244.5549454425,26.9173387900438,-19309.807026726874,23.526836113886525,-1208.22121494375,60.06703297286419,-1208.22121494375,45.411888123960466
-264.479287685,34.66238139441718,-183.0843468,33.83620876572769,-13.424778018749999,40.55863427364367,-13.424778018749999,29.461589343793058
-146.88070259499997,20.885799932488485,-150.00853638281254,20.747836107821453,-14.198031781249997,39.62588987317601,-14.198031781249997,29.01566086461832
-16690.924309346254,34.93969212223094,-18004.226352622813,35.54649496595992,-217.6702594937498,2.2016586804474114,-217.6702594937498,1.309754808316543
-12714.161964943754,52.15906221247445,-19506.9154824275,23.193987596964522,-224.94036866249982,0.958864373767513,-224.94036866249982,0.8582609515952769
-17094.836135939997,30.742741498332578,-16942.096256411987,30.773585940210644,-216.14871267500038,0.5854046695744254,-216.14871267500038,0.5767324320439818
-13936.863065765005,37.79063941588014,-18296.790975826254,37.81898271208217,-216.2554778625003,2.5542147960489867,-216.2554778625003,1.2213747476976595
-186.32668019624998,28.92403938171394,-164.1215267975,22.058617842436426,-13.310216087499994,39.54273457137849,-13.310216087499994,28.725825747529942
-14418.046026076248,24.071595731708364,-15053.614423371444,26.313097470428577,-1201.5463471312503,60.05938680679536,-1201.5463471312503,45.35672831430069
-14191.2377192675,35.431565717438325,-12856.077766211249,31.69483347764064,-1210.5628845750005,60.9635465200447,-1210.5628845750005,46.21750969224068
-13877.265873303753,36.94448054483744,-19807.184465623748,30.548509129704172,-1229.7403875250002,57.72217478621995,-1229.7403875250002,43.412883610325224
-16618.5158143975,29.939970365395453,-14076.052158556762,42.04548409617775,-204.23283997500025,1.5820162197448182,-204.23283997500025,0.8038941432398965
Wilcoxon p value: 5.960464477539063e-08
Cliff's delta: 1.0
